course_code,title,year,quarter,credits,learning_line,prerequisites_formal,prerequisites_informal,category,serious_pass_rate_2024,pass_rate_2024,content,learning_outcomes_codes,learning_outcomes_text
2IRR10,CBL Autonomous Systems Twinning,1,4,5,Software Development,,"2IP90, 2IAB1,2DRR00, 2IL50, 2DRR10",Deepening,0.9583,0.9344,"The goal of this challenge-based learning (CBL) course is to collaboratively create a cyber-physical system for mobile robots, using digital twins technology. This system is designed to be accessible to a group of target users, e.g., warehouse operators and elderly home caretakers. As a result, a virtual environment should be created based on a physical environment in which a real robot is located. This virtual environment contains a virtual version of our real-life robot as well. These two environments (and the robots) provide at least two different functionalities: (i) they have bidirectional communication between them, (ii) they interact with their environment, and (iii) their live status should be synchronized as well.. For example, if the physical robot were to be moved, then the virtual robot should move to the same position, and vice versa. In this course, you will experiment with Python PL, Robot Operating System (ROS), a ROS Visualization tool (RViz), a 3D robotic simulator (Gazebo), and TurtleBot3. You should illustrate the usefulness of your work by demonstrating how the virtual environment has been designed and developed to mimic the real-life environment and help the group of target users.","SD0,SD2,SD3,SD4,SD5,SD6","Students have in-depth knowledge and understanding of modelling and analysis of information, software development, and the design and architecture of systems.,Students can explain and apply several programming paradigms, at least the imperative and the object-oriented paradigms.,Students can explain and apply the principles and processes of software engineering, including artefact management, quality engineering, requirements engineering, design, project management, and modelling.,Students can identify parts of larger real-world problems for which medium scale software can be developed; they can formulate the corresponding problem at a suitable level of abstraction.,Students can model medium scale software systems and formally evaluate their correctness and performance."
0LVX10,ITEC Engineering Ethics,1,4,5,External,,,Introductory,0.9867,0.9721,"Ethics of Technology and Engineering introduces students to normative skills that help engineers, designers, and researchers to make decisions concerning ethical questions. These skills are needed e.g., to understand the complex societal context of sustainable mobility and energy systems, to deal with and to identify privacy aspects of all kinds of smart systems, or to help solve controversial health and risk issues. Students acquire insights into basic ethical concepts (such as values, risks and responsibilities) and analyse the role these concepts play in the context of the development and design of technologies.",,
2IX20,Software Specification,2,1,5,Software Development,,"2IP90, 2IRR00, 2IT60",Advanced,0.9052,0.8949,"In this course, we study several specification techniques and concepts pertaining to software systems. The course covers informal and formal specification techniques. The part on informal techniques covers several UML diagrams, for instance, use cases, use-case diagrams, object and class diagrams, sequence diagrams, activity diagrams and state machine diagrams. The formal techniques include temporal logics and modelling formalisms like labelled transition systems/Kripke structures. We address the quality and consistency of specifications. In the assignments, the knowledge of modelling and specification is put to practice. The course also covers foundations and applications of model-based testing techniques .","SD0,SD1,SD3,SD4,SD5,SD6","Students can determine requirements for medium scale software projects and develop software that demonstrably meets these requirements,Students can explain and apply several programming paradigms, at least the imperative and the object-oriented paradigms.,Students can explain and apply the principles and processes of software engineering, including artefact management, quality engineering, requirements engineering, design, project management, and modelling.,Students can identify parts of larger real-world problems for which medium scale software can be developed; they can formulate the corresponding problem at a suitable level of abstraction."
2IRR20,Networks,2,1,5,Systems,,2IC30,Deepening,0.9327,0.9238,"The OSI model; notions: protocol, connection, application, service; network topology, network components and physical media; overview of relevant services; the link layer; the network layer and routing; the Internet protocol; naming; addressing; the transport layer: TCP, UDP; reliability and multiplexing; performance characteristics and quality of service","Sys1,Sys3,Sys4,Sys5","Students have foundational knowledge and understanding of computer systems, including digital circuits, compilers and assembly, computer architectures, computer networks, networking protocols, and solutions to manage access to data, hardware and software resources.,Students are able to model and evaluate the suitability and efficiency of computing architectures, networking protocols, security protocols, data structures and conceptual modeling structures to address system requirements.,Students are able to design and optimize combinatorial and sequential circuits, networks and network applications, concurrent applications and relational databases in an effective and structured manner, whereby those systems will perform the tasks expected of them correctly and efficiently.,Students are able to analyze a system with respect functional correctness, liveness, reliability, and security."
2IRR90,Automata and Formal Languages,2,2,5,Algorithms & Theory of Computing,2IT60,,Deepening,0.7857,0.6341,"This course covers fundamental concepts and theory in the fields of Automata Theory and Formal Language Theory including regular languages, context-free languages, and decidable languages and their computational models, viz. NFAs, PDAs, and TMs. In addition DFA-minimization and parsing are treated. ","ATC1,ATC2,ATC3","""Students have a working knowledge of
(a) the fundamental definitions pertaining to sets, relations, functions, orderings, graphs, and trees;
(b) the fundamental data structures (such as heaps, hash tables, and binary search trees), basic sorting algorithms (such as MergeSort and QuickSort), and basic graph algorithms (such as minimum spanning trees, breadth- and depth-first search), and know their basic properties;
(c) the formal definitions of various notions of automata (deterministic and non-deterministic finite automata, push-down automata, and Turing machines), various classes of formal languages (regular, context-free, decidable, undecidable), and various complexity classes of computational problems (P, NP, NP-hard, NP-complete, undecidable);
(d) the definitions of cuts and flows in graphs, the concept of a greedy choice property and optimal substructure in an optimization problem."",""Students can
(a) formalize statements in first-order predicate logic, are skilled in proving formal statements using standard proof techniques (e.g., proof by contradiction, case distinction, induction, double counting, using invariants), and can apply those techniques to establish the correctness of algorithms;
(b) apply basic algorithm design techniques (incremental, recursive, divide-and-conquer);
(c) use pumping lemmas to establish that a language is not regular or context-free, can prove the equivalence of automata, and prove that a computational problem is undecidable or NP-hard by a reduction;
(d) use more advanced algorithm design techniques (backtracking, greedy algorithm, dynamic programming) to solve optimization problems and use advanced graph algorithms (shortest paths, maximum flows) to solve other computational problems; and
(e) prove the correctness of algorithms thus developed and can characterize their efficiency by performing a worst-case asymptotic analysis."",Students can evaluate the quality, suitability, and feasibility of solutions to computational problems. They can distinguish between regular, context-free, decidable and undecidable languages, and between undecidable, NP-hard, and polynomial-time solvable problems."
2ID50,Datamodelling and Databases,2,2,5,Systems,,2IT60,Deepening,0.8962,0.8941,"Entity-Relationship Model (and equivalent UML constructs)
Designing E-R diagrams for business situations
The Relational Database model
Constraints and Decompositions
Query languages: translation from natural language to
query languages and back; equivalence of query languages.","Sys1,Sys3,Sys4","Students have foundational knowledge and understanding of computer systems, including digital circuits, compilers and assembly, computer architectures, computer networks, networking protocols, and solutions to manage access to data, hardware and software resources.,Students are able to model and evaluate the suitability and efficiency of computing architectures, networking protocols, security protocols, data structures and conceptual modeling structures to address system requirements.,Students are able to design and optimize combinatorial and sequential circuits, networks and network applications, concurrent applications and relational databases in an effective and structured manner, whereby those systems will perform the tasks expected of them correctly and efficiently."
2ILC0,Algorithms,2,3,5,Algorithms & Theory of Computing,2IL50,,Advanced,0.8740,0.8449,"The efficiency of algorithms is of crucial importance in many applications. In the course Data Structures (2IL50) you have learned how to mathematically analyze efficiency, how to use design techniques like divide-and-conquer, and you have seen efficient algorithms and data structures for basic problems such as sorting and searching. In the course Algorithms we will take this one step further, by studying more advanced design techniques and algorithms, and by studying other aspects of efficiency. Many of the topics that are covered concern optimization problems, where one wants to find not just some solution to a problem but an optimal solution. The course consists of three parts. In the first part we study three general techniques for solving optimization problems: backtracking, dynamic programming, and greedy algorithms. The second part of the course deals with algorithms for optimization problems on graphs: computing shortest paths, computing maximum flows, and finding so-called matchings. In the third part of the course we study computational complexity theory by looking at NP-completeness, which investigate the limits of what is efficiently computable.
","ATC1,ATC2,ATC3, ATC4,ATC5","""""""Students have a working knowledge of
(a) the fundamental definitions pertaining to sets, relations, functions, orderings, graphs, and trees;
(b) the fundamental data structures (such as heaps, hash tables, and binary search trees), basic sorting algorithms (such as MergeSort and QuickSort), and basic graph algorithms (such as minimum spanning trees, breadth- and depth-first search), and know their basic properties;
(c) the formal definitions of various notions of automata (deterministic and non-deterministic finite automata, push-down automata, and Turing machines), various classes of formal languages (regular, context-free, decidable, undecidable), and various complexity classes of computational problems (P, NP, NP-hard, NP-complete, undecidable);
(d) the definitions of cuts and flows in graphs, the concept of a greedy choice property and optimal substructure in an optimization problem."""",""""Students can
(a) formalize statements in first-order predicate logic, are skilled in proving formal statements using standard proof techniques (e.g., proof by contradiction, case distinction, induction, double counting, using invariants), and can apply those techniques to establish the correctness of algorithms;
(b) apply basic algorithm design techniques (incremental, recursive, divide-and-conquer);
(c) use pumping lemmas to establish that a language is not regular or context-free, can prove the equivalence of automata, and prove that a computational problem is undecidable or NP-hard by a reduction;
(d) use more advanced algorithm design techniques (backtracking, greedy algorithm, dynamic programming) to solve optimization problems and use advanced graph algorithms (shortest paths, maximum flows) to solve other computational problems; and
(e) prove the correctness of algorithms thus developed and can characterize their efficiency by performing a worst-case asymptotic analysis."""",Students can evaluate the quality, suitability, and feasibility of solutions to computational problems. They can distinguish between regular, context-free, decidable and undecidable languages, and between undecidable, NP-hard, and polynomial-time solvable problems."",Students can effectively communicate to peers about topics in theoretical computer science (e.g., algorithms, automata, grammars, formal syntax) and support their claims with mathematical proofs.,After completing the learning line, students have a systematic, formal approach to solving computational problems. They aim to solve computational problems by designing solutions that are provably correct and efficient and reflect on the limitations of their solutions."
2IRR50,Statistics and Machine Learning,2,4,5,Foundations,,"2WBB0, 2DRR00",Advanced,0.9339,0.9311,"* Introduction to data mining, machine learning and optimization; Instructions: Python for Data Mining and Machine Learning; Recap mathematical basics
* Regression (linear and non-linear), regularization, bias-variance trade-off, Ridge regression, Lasso
*  Classification: Naive Bayes, K-Nearest Neighbors, Support vector machines and the Kernel Trick, Decision Trees and Random Forests; Evaluation of classifiers
* Neural Networks (Multi-layer Perceptrons and Convolutional Neural Networks), Backpropagation of Error, Stochastic Gradient Descent, training techniques
* Unsupervised Learning 1, PCA, SVD, Recommender systems, K-Means clustering","F1,F4","""Students have a working knowledge of
(a) basic algebra, transcendental functions, limits, vectors in euclidean space, integration, differentiation, first order differential equations
(b) vectors and matrices, including eigen vectors, determinants, rank, low rank, orthogonality, (in)dependence, positive definiteness
(c) probability theory, including discrete and continuous random variables, joint distributions, independence, Central Limit Theorem, discrete Markov chains
(c) point estimators, confidence intervals hypothesis testing.
(d) supervised and unsupervised learning and common machine learning methods."",Students can make informed choices, implement and reflect on the usage of common machine learning techniques in theoretical and applied settings."
4CBLW00-BCS,Multidisciplinary CBL,2,4,5,External,,,Advanced,0.9761,0.9704,"
Students can choose from a variety of projects on different topics, organized by different combinations of departments. Each project addresses an open challenge in either Engineering Design or Scientific Inquiry. These challenges are intentionally designed to be complex and extensive, requiring more than what can be accomplished by an experienced team within an extended timeframe. Therefore, the initial step for students in a project is to define a research question or design goal that they can reasonably address within the course's timeframe.

The projects follow a structured format and adhere to the timeline of a linear design process, such as the Classical Engineering model, the CBL framework ""Engage – Investigate – Act,"" the Double Diamond model, or the Design Thinking model. These models share characteristics of subsequent diverging and converging phases, along with iterative processes.",,
2IRR40,Security,2,4,5,Systems,,"2IRR20,2INC0",Deepening,0.8926,0.8386,"In the frontal lectures, the course will cover the following topics:
Key Notions and Terms; Security Attributes/Objectives/Services, Security Protocols, and Attacks & Attacker Models.
Cryptographic primitives; including symmetric encryption, asymmetric encryption, and Cryptographic Data Integrity Algorithms such as Hash functions, Message Authentication Codes, and Digital Signatures.
Authentication, Authorization and Trust; User Authentication, Access Control basics, and Cryptographic Key Management & Distribution
Network and Internet Security; SSL/TLS, SSH, Wireless Network Security, IP Security, and Network Endpoint Security (Firewall, IDS)
Attacks and Attacker Models; Attacks on IT systems with techniques such as Buffer Overflow and SQL Injection and Web app security

The practical laboratories will cover the following topics:
Key Management and Public-Key Certificates
Virtual Private Networks (VPN)
Firewalls","Sys1,Sys2,Sys3,Sys4,Sys5",
2INC0,Operating Systems,2,3,5,Systems,,2IC30,Advanced,0.8957,0.8782,"Introduction of concurrency, atomicity and interference. Program traces and interference. Reasoning about concurrent programs using traces, invariants and assertions. Standard problems like mutual exclusion, bounded buffer and readers/writers. Synchronization using semaphores, conditional critical sections and monitors. Hardware primitives. Global description of operating system tasks. Operating System architecture and Application Programmers interface. The kernel, multiprocessing, interrupts, device drivers, implementation aspects. Virtual memory: demand paging, replacement algorithms. Resource management, scheduling. Filesystems. Examples from Linux and Windows

Practical exercises in a virtual linux environment","Sys1,Sys2,Sys4,Sys5",
2IRR30,Software Engineering Project,3,"1,2",10,Software Development,"2IP90,2IRR00,2IT60,2IT80,2IL50,2IX20, 2IRR10",,Advanced,,,"The course covers the following topics:
Basic introduction to software engineering and processes
Requirements: focusing on requirements elicitation process. This part will also refresh the knowledge about formulating requirements and prioritizing them (part of course Software Design)
Domain analysis: focusing on determining the system boundary and system external interfaces, identification of stakeholders and their priorities, identifying and aligning system capabilities with business. It should be noted that domain analysis as taught in this course differs from domain analysis in the Database course where the goal is to derive a data model
Software architecting, design and modeling: focusing on the process of architectural design, identification and selection of design alternatives; documentation of software architecture. The knowledge in UML will be extended by introducing component and deployment diagrams
Quality assurance and software testing: introduces the kinds of testing necessary for the executed project and goes beyond the simple unit testing already presented in previous courses. This part also discussed DevOps and CI/CD processes
Lecture from industry on emerging topics like low code development, software engineering for AI systems, and others
","SD0,SD1, SD2,SD3,SD4,SD5,SD6",
2ICS00,Bachelor Final Project BCS,3,"3,4",10,All,"2WBB0,2IP90,2IT60,2DRR00,2IT80,2IAB1,2DRR10,2IL50,2IC30,2IRR00,2IRR10,0LVX10",,Advanced,,,"In this course, the students apply and integrate knowledge and skills that have been acquired during the bachelor program in a research-oriented project. This project will be carried out with great independence of the students under the advice of an academic supervisor. The students make and execute a project plan, explore, relate, and use scientific literature in the context of the project’s topic, present the project and its outcomes both orally and in writing, and evaluate the results and decisions made during the project.",,
2IRR60,Capstone Heuristic Algorithms,3,1,5,Algorithms & Theory of Computing,2ILC0,,Advanced,,,"There are various algorithms and algorithmic techniques that allow us to efficiently solve algorithmic problems with guarantees on both the solution quality and the running time of the algorithms. However, there are also algorithmic problems that are provenly hard and for which we cannot provide such guarantees in general. These problems are often encountered in practice and good solutions are required for practical applications, regardless of the fact that we cannot provide any guarantees on these solutions. In this course we cover heuristic algorithmic techniques for optimization problems that cannot provide guarantees on the computed solutions, but do have strong theoretical foundations, including local search, simulated annealing, and evolutionary algorithms. Furthermore, we cover tools that can be used to solve hard problems optimally, but without any guarantees on the running time of the algorithm, including ILP solvers and SAT solvers. Finally, we cover how the performance of algorithms can be evaluated experimentally, in the absence of any formal guarantees.
 ",,
2IRR70,Capstone Systems Integration,3,1,5,Systems,,"2INC0,2IRR20,2ID50,2IRR40,2IRR10",Advanced,,,"After this course, the student is able to formulate observed functional, performance, and security issues in the operation of a distributed cyber-physical system of medium-sized complexity (ILO1). The student can formulate these such that they can be replicated (ILO2), and the student can analyse the combination of technologies/disciplinaries involved in these issues (ILO3). Finally, the student is able to work on the solution of issues in a methodical way, making use of combined basic disciplinary knowledge from relevant domains (ILO4). Note that, while the course contains hands-on deliverables and makes use of the students existing professional skills to show the quality of their work, it is not an explicit ILO of the course to improve those skills. A students final assessment may be influenced by a lack of such professional skills, but this is deemed fair considering the position of the course in the curriculum.",,
2IRR80,Capstone Software Development,3,1,5,Software Development,"2IP90,2IRR00,2IX20",,Advanced,,,"In the first two weeks, a kick-off in which the goals and structure of the course are explained, groups are created, and the curated list of open-source projects is introduced; and 
Three content lectures covering basic methods to assess the software and processes of open-source projects 
In weeks 3+4, groups apply methods they learned to an open-source project of their choice from the curated list and create a mid-term report. 
In weeks 5+6, three content lectures covering advanced methods to assess the software and processes of open-source projects. At this point the students will start on their reflection essay. 
From the middle of week 6, two weeks where groups apply methods they learned to the open-source project they chose before, create a final report and presentation, and finalize their reflection essay. 
Final presentation session",,
0LVX20,ITEC Engineering for Society,3,3,5,External,,,Deepening,,,"Technological innovation is one of the key elements of human progress. New technologies can provide business opportunities, solve social problems, and allow users to do new things. However, even with clear expectations and active participation of a broad range of stakeholders, new technologies also raise ethical questions, can have serious implications for society and the environment, and pose new risks, often unknown and unknowable before the new technologies reach maturity. Society not only shapes technology but technology also shapes society. 

New technologies strongly depend on social acceptance and cannot escape public debates of regulation and ethics. Engineers who develop technologies must do that responsibly, since they do not just make things; they build society. They need to reflect on – and include – public values in this process. This requires methods and approaches to evaluate and compare technologies. This course provides theoretical and practical frameworks for assessing and designing responsible innovations.",,
ElectiveY2Q1,Elective,2,1,5,External,,,,,,,,
ElectiveY2Q2,Elective,2,2,5,External,,,,,,,,
ElectiveY2Q3,Elective,2,3,5,External,,,,,,,,
ElectiveY3Q1,Elective,3,1,5,External,,,,,,,,
ElectiveY3Q2a,Elective,3,2,5,External,,,,,,,,
ElectiveY3Q2b,Elective,3,2,5,External,,,,,,,,
ElectiveY3Q3,Elective,3,3,5,External,,,,,,,,
ElectiveY3Q4a,Elective,3,4,5,External,,,,,,,,
ElectiveY3Q4b,Elective,3,4,5,External,,,,,,,,
